county,avg_annual_growth_pct
Leitrim,10.28009246635846
Longford,10.184806187456962
Donegal,9.510196933302435
Roscommon,9.416883408487502
Cavan,9.123055372632752
Mayo,8.921917453618681
Clare,8.199933184878198
Kerry,8.15857135028983
Limerick,8.068085179529238
Carlow,7.898193483086456
Wexford,7.842409594231015
Waterford,7.538465245272508
Tipperary,7.470428006010796
Offaly,7.285753114209537
Westmeath,7.242626939301817
Sligo,6.951351145879772
Galway,6.903390431940792
Monaghan,6.903199730009453
Wicklow,5.877820420326798
Cork,5.5291129995249255
Laois,5.514763700348864
Kildare,5.364338196334586
Kilkenny,5.306505904122485
Louth,5.125203648787706
Meath,4.547700950723872
Dublin,4.161383467340776
