year,county,avg_monthly_rent
2019,Carlow,826.31
2019,Cavan,642.68
2019,Clare,731.34
2019,Cork,1083.06
2019,Donegal,573.7
2019,Dublin,1694.79
2019,Galway,1081.95
2019,Kerry,738.29
2019,Kildare,1229.63
2019,Kilkenny,870.4
2019,Laois,856.86
2019,Leitrim,556.6
2019,Limerick,982.89
2019,Longford,624.4
2019,Louth,1031.34
2019,Mayo,658.89
2019,Meath,1153.13
2019,Monaghan,663.68
2019,Offaly,770.37
2019,Roscommon,642.89
2019,Sligo,762.34
2019,Tipperary,684.81
2019,Waterford,795.72
2019,Westmeath,820.01
2019,Wexford,760.88
2019,Wicklow,1238.18
2020,Carlow,870.88
2020,Cavan,671.79
2020,Clare,762.97
2020,Cork,1124.23
2020,Donegal,593.03
2020,Dublin,1737.36
2020,Galway,1128.22
2020,Kerry,775.2
2020,Kildare,1294.15
2020,Kilkenny,867.65
2020,Laois,885.15
2020,Leitrim,580.88
2020,Limerick,1026.74
2020,Longford,658.14
2020,Louth,1075.92
2020,Mayo,686.45
2020,Meath,1198.05
2020,Monaghan,674.3
2020,Offaly,816.58
2020,Roscommon,674.26
2020,Sligo,750.91
2020,Tipperary,711.53
2020,Waterford,820.03
2020,Westmeath,857.05
2020,Wexford,779.41
2020,Wicklow,1291.7
2021,Carlow,926.86
2021,Cavan,700.59
2021,Clare,807.82
2021,Cork,1167.45
2021,Donegal,627.08
2021,Dublin,1771.39
2021,Galway,1187.43
2021,Kerry,809.95
2021,Kildare,1343.53
2021,Kilkenny,876.7
2021,Laois,906.28
2021,Leitrim,620.68
2021,Limerick,1071.24
2021,Longford,702.07
2021,Louth,1116.19
2021,Mayo,726.72
2021,Meath,1234.93
2021,Monaghan,692.87
2021,Offaly,847.84
2021,Roscommon,720.49
2021,Sligo,789.69
2021,Tipperary,739.93
2021,Waterford,890.68
2021,Westmeath,901.09
2021,Wexford,814.43
2021,Wicklow,1366.19
2022,Carlow,1015.12
2022,Cavan,797.39
2022,Clare,890.0
2022,Cork,1236.99
2022,Donegal,701.51
2022,Dublin,1859.01
2022,Galway,1273.5
2022,Kerry,891.58
2022,Kildare,1410.85
2022,Kilkenny,933.84
2022,Laois,949.89
2022,Leitrim,710.88
2022,Limerick,1188.06
2022,Longford,783.24
2022,Louth,1166.28
2022,Mayo,811.85
2022,Meath,1278.11
2022,Monaghan,757.22
2022,Offaly,921.92
2022,Roscommon,799.71
2022,Sligo,877.0
2022,Tipperary,817.18
2022,Waterford,991.02
2022,Westmeath,978.46
2022,Wexford,893.37
2022,Wicklow,1413.73
2023,Carlow,1101.96
2023,Cavan,887.32
2023,Clare,977.45
2023,Cork,1311.5
2023,Donegal,804.52
2023,Dublin,1969.25
2023,Galway,1363.29
2023,Kerry,972.49
2023,Kildare,1499.47
2023,Kilkenny,1025.4
2023,Laois,1002.27
2023,Leitrim,784.05
2023,Limerick,1291.57
2023,Longford,865.12
2023,Louth,1230.61
2023,Mayo,907.38
2023,Meath,1359.96
2023,Monaghan,833.0
2023,Offaly,990.56
2023,Roscommon,895.78
2023,Sligo,968.1
2023,Tipperary,880.68
2023,Waterford,1078.6
2023,Westmeath,1062.93
2023,Wexford,1008.57
2023,Wicklow,1482.22
2024,Carlow,1207.66
2024,Cavan,991.17
2024,Clare,1082.99
2024,Cork,1416.68
2024,Donegal,900.15
2024,Dublin,2076.77
2024,Galway,1509.07
2024,Kerry,1090.72
2024,Kildare,1596.44
2024,Kilkenny,1122.64
2024,Laois,1118.12
2024,Leitrim,904.49
2024,Limerick,1445.62
2024,Longford,1010.72
2024,Louth,1323.61
2024,Mayo,1007.91
2024,Meath,1439.71
2024,Monaghan,923.52
2024,Offaly,1093.77
2024,Roscommon,1006.32
2024,Sligo,1061.5
2024,Tipperary,979.74
2024,Waterford,1142.44
2024,Westmeath,1162.19
2024,Wexford,1106.36
2024,Wicklow,1644.9
